feature_1,Design Option,Category,Family,Type,Horizontal Profile Offset,Vertical Profile Offset,Length,Family and Type,Type Id,Phase Created,Phase Demolished,Angle,Profile,Type Name,Family Name,Material,Base Level,Base Offset,Column Style,Level,Moves With Grids,Top Level,Top Offset,Volume,Host Id,Structural Material,Base Connection,Enable Analytical Model,Top Connection,Ht,b,kr,t,Keynote,A,Section Shape,Shape,W,Eccentricity,Area,Elevation at Bottom,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Survey,Width,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Default End Extension Length,Do Not Break At Inserts,Foundation Thickness,Structural Usage,Elevation from Level,Host,Schedule Level,Offset,Mark,AssetIdentifier,BarCode,Assembly Description,Description,EAN code,Installation instructions,Manufacturer,Model,OmniClass Number,OmniClass Title,Product Guid,Product data url,Technical description,Type Comments,Type Mark,URL,Thickness,Base Constraint,Top Constraint,Unconnected Height,Corner Mullion,Position,Width on side 1,Width on side 2,Wardrobe-Door,Blanket visibility,Base Offset From Level,Cutoff Level,Cutoff Offset,Related to Mass,Room Bounding,Fascia Depth,Maximum Ridge Height,Rafter Cut,Slope,Absorptance,Roughness,Default Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Height Offset From Level,Perimeter,Span Direction,Structural,Display in Hidden Views,Glazing Type,Sill Height,Head Height,FRAME,Analytic Construction,Wall Closure,Core Frame Length,Core Frame Width,Full Door Handle Height,Full Panel Height,Lower Handle Height,Mid Rail Height,Panel Width,Full Height Door,MidRail,No MidRail,Top Panel Visible,Base Extension Distance,Base is Attached,Location Line,Top Extension Distance,Top is Attached,Wrapping at Ends,Wrapping at Inserts,Justification,Number,Automatically Embed,Curtain Panel,Join Condition,Adjust for Mullion Size,Layout,Spacing,Border 1 Type,Border 2 Type,Interior Type
10410209,None,OST_Windows,WA - Three Panel Window with Large Fixed Panel,WA - Three Panel Window with Large Fixed Panel,,,,WA - Three Panel Window with Large Fixed Panel,WA - Three Panel Window with Large Fixed Panel,New Construction,None,,,WA - Three Panel Window with Large Fixed Panel,Three Panel Window with Large Fixed Panel,,,,,00 GROUND,,,,0.07 m³,200 Masonary wall,,,,,,,,,202.3,,,,,,3 m²,,,,,1800,,,,,,,,,,,,460,,,,TOP HUNG WINDOWS WITH FIXED PANELS,,,,,23.30.20.00,Windows,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,900,2150,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10412435,None,OST_Windows,WA - Three Panel Window with Large Fixed Panel,WA - Three Panel Window with Large Fixed Panel,,,,WA - Three Panel Window with Large Fixed Panel,WA - Three Panel Window with Large Fixed Panel,New Construction,None,,,WA - Three Panel Window with Large Fixed Panel,Three Panel Window with Large Fixed Panel,,,,,00 GROUND,,,,0.07 m³,200 Masonary wall,,,,,,,,,202.3,,,,,,3 m²,,,,,1800,,,,,,,,,,,,461,,,,TOP HUNG WINDOWS WITH FIXED PANELS,,,,,23.30.20.00,Windows,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,900,2150,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10416012,None,OST_Windows,WB - 2800Wx600H,WB - 2800Wx600H,,,,WB - 2800Wx600H,WB - 2800Wx600H,New Construction,None,,,WB - 2800Wx600H,Single Panel Window,,,,,00 GROUND,,,,0.03 m³,200 Masonary wall,,,,,,,,,202.3,,,,,,1 m²,,,,,1600,,,,,,,,,,,,466,,,,TOP HUNG WINDOWS WITH FIXED PANELS,,,,,23.30.20.00,Windows,,,,,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,900,1500,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10415893,None,OST_Windows,WC - 600Wx1200H,WC - 600Wx1200H,,,,WC - 600Wx1200H,WC - 600Wx1200H,New Construction,None,,,WC - 600Wx1200H,Single Panel Window,,,,,00 GROUND,,,,0.02 m³,200 Masonary wall,,,,,,,,,,,,,,,1 m²,,,,,600,,,,,,,,,,,,465,,,,FIXED PANEL WINDOWS,,,,,23.30.20.00,Windows,,,,,WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,900,2100,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10418522,None,OST_Windows,WC - 600Wx1200H,WC - 600Wx1200H,,,,WC - 600Wx1200H,WC - 600Wx1200H,New Construction,None,,,WC - 600Wx1200H,Window with Two Panels,,,,,00 GROUND,,,,0.02 m³,200 Masonary wall,,,,,,,,,202.3,,,,,,1 m²,,,,,600,,,,,,,,,,,,468,,,,FIXED PANEL WINDOWS,,,,,23.30.20.00,Windows,,,,,WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,900,2100,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10418685,None,OST_Windows,WC - 600Wx1200H,WC - 600Wx1200H,,,,WC - 600Wx1200H,WC - 600Wx1200H,New Construction,None,,,WC - 600Wx1200H,Window with Two Panels,,,,,00 GROUND,,,,0.02 m³,200 Masonary wall,,,,,,,,,202.3,,,,,,1 m²,,,,,600,,,,,,,,,,,,469,,,,FIXED PANEL WINDOWS,,,,,23.30.20.00,Windows,,,,,WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,900,2100,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10421110,None,OST_Windows,WB - 600Wx600H,WB - 600Wx600H,,,,WB - 600Wx600H,WB - 600Wx600H,New Construction,None,,,WB - 600Wx600H,Single Panel Window,,,,,00 GROUND,,,,0.01 m³,200 Masonary wall,,,,,,,,,,,,,,,1 m²,,,,,600,,,,,,,,,,,,470,,,,,,,,,23.30.20.00,Windows,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1500,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10421213,None,OST_Windows,WB - 600Wx600H,WB - 600Wx600H,,,,WB - 600Wx600H,WB - 600Wx600H,New Construction,None,,,WB - 600Wx600H,Single Panel Window,,,,,00 GROUND,,,,0.01 m³,200 Masonary wall,,,,,,,,,,,,,,,1 m²,,,,,600,,,,,,,,,,,,471,,,,,,,,,23.30.20.00,Windows,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1500,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10416088,None,OST_Windows,WD - 1500Wx1800H,WD - 1500Wx1800H,,,,WD - 1500Wx1800H,WD - 1500Wx1800H,New Construction,None,,,WD - 1500Wx1800H,Three Panel Window with Large Fixed Panel,,,,,00 GROUND,,,,0.07 m³,200 Masonary wall,,,,,,,,,202.3,,,,,,3 m²,,,,,1500,,,,,,,,,,,,467,,,,FIXED PANEL WINDOWS,,,,,23.30.20.00,Windows,,,,,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,900,2150,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10478209,None,OST_Windows,WH - Three Panel Window 750,WH - Three Panel Window 750,,,,WH - Three Panel Window 750,WH - Three Panel Window 750,New Construction,None,,,WH - Three Panel Window 750,Three Panel Window,,,,,01 FIRST,,,,0.04 m³,200 Masonary wall,,,,,,,,,202.3,,,,,,2 m²,,,,,750,,,,,,,,,,,,491,,,,TOP HUNG WINDOWS WITH FIXED PANELS,,,,,23.30.20.00,Windows,,,,,WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,550,1800,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10478211,None,OST_Windows,WJ - 2700x1500,WJ - 2700x1500,,,,WJ - 2700x1500,WJ - 2700x1500,New Construction,None,,,WJ - 2700x1500,Single Panel Window,,,,,01 FIRST,,,,0.08 m³,200 Masonary wall,,,,,,,,,,,,,,,4 m²,,,,,2700,,,,,,,,,,,,492,,,,TOP HUNG WINDOWS WITH FIXED PANELS,,,,,23.30.20.00,Windows,,,,,WJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,550,1800,,<None>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
